정답,유사답안,문제,출제연도,문제소분류,문제대분류,비고,Status,담당자,마감일
프롬프트(Prompt),,컴퓨터 터미널에서 CLI(커맨드 라인 인터페이스)의 명령 대기 모드이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
쉘(Shell),,컴퓨터 내부를 관리하는 커널(Kernel)과 사용자 간을 연결하는 명령어(Command) 창이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
i-node,,유닉스 계통 파일 시스템에서 사용하는 자료구조이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
MMU(Memory Management Unit),,CPU가 메모리에 접근하는 것을 관리하는 컴퓨터 하드웨어 부품으로 가상 메모리 주소를 실제 메모리 주소로 변환하는 장치이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
프로세스(Process),,일반적으로 CPU에 의해 처리되는 프로그램으로 현재 실행 중인 프로그램이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
문맥교환(Context swiching),,CPU가 현재 실행하고 있는 프로세스의 문맥 상태를 프로세스 제어블록(PCB)에 저장하고 다음 프로세스의 PCB로부터 문맥을 복원하는 작업,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
시간 할당량(Time Quantum),,프로세스가 선점방식의 다중 작업 시스템에서 작업을 실행할 수 있는 시간대를 말한다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
시분할 시스템(Time Sharing System),,CPU 스케줄링과 다중 프로그래밍을 이용해서 각 사용자들에게 컴퓨터 자원을 시간적으로 분할하여 사용할 수 있게 해주는 대화식 시스템이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
기아(Starvation) 현상,,"시스템 부하가 많아서 준비 큐에 있는 낮은 등급의 프로세스가 무한정 기다리는 현상이다.
기아 현상을 해결하기 위해서 오랫동안 기다린 프로세스에게 우선순위를 높여주도록 처리하는 기법인 에이징(Aging)을 활용한다.",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
제어 흐름 테스트(Control Flow Testing),,( )는 프로그램 제어구조를 그래프 형태로 나타내어 내부 로직을 테스트하는 기법이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
결정 테이블 테스트(Decision Table Testing),,( )는 요구사항의 논리와 발생조건을 테이블 형태로 나열하여 조건과 행위를 모두 조합하여 테스트하는 기법이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
유스 케이스 테스트(Use Case Testing),,( )는 시스템이 실제 사용되는 유스 케이스로 모델링 되어 있을 때 프로세스 흐름을 기반으로 테스트 케이스를 설계하여 테스트하는 기법이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
비교 테스트(Comparison Testing),,( )는 여러 버전의 프로그램에 같은 입력값을 넣어서 동일한 결과 데이터가 나오는지 비교해 보는 테스트 기법이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
회복 테스트,,"( )는 시스템에 고의로 실패를 유도하고, 시스템의 정상적 복귀 여부를 테스트하는 기법이다.",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
안전 테스트,,( )는 불법적인 소프트웨어가 접근하여 시스템을 파괴하지 못하도록 소스 코드 내의 보안적인 결함을 미리 점검하는 테스트 기법이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
은행가 알고리즘(Banker’s Algorithm),,"사용자 프로세스는 사전에 자기 작업에 필요한 자원의 수를 제시하고 운영체제가 자원의 상태를 감시, 안정상태일 때만 자원을 할당하는 교착상태 회피기법이다.",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
구조 테스트,,"( )는 시스템의 내부 논리 경로, 소스 코드의 복잡도를 평가하는 테스트 기법이다.",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
병행 테스트,,( )는 변경된 시스템과 기존 시스템에 동일한 데이터를 입력 후 결과를 비교하는 테스트 기법이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
운영체제,,사용자가 컴퓨터의 하드웨어를 쉽게 사용할 수 있도록 인터페이스를 제공해 주는 소프트웨어,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
가상화,,"물리적인 리소스들을 사용자에게 하나로 보이게 하거나, 하나의 물리적인 리소스를 여러 개로 보이게 하는 기술이다.",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
컴퓨터 가상화,,물리적으로 컴퓨터 리소스를 가상화하여 논리적 단위로 리소스를 활용할 수 있도록 하는 기술,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
스토리지 가상화,,스토리지와 서버 사이에 소프트웨어/하드웨어 계층을 추가하여 스토리지를 논리적으로 제어 및 활용할 수 있도록 하는 기술,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
I/O 가상화,,"서버와 I/O 디바이스 사이에 위치하는 미들웨어 계층으로, 서버의 I/O 자원을 물리적으로 분리하고 케이블과 스위치 구성을 단순화하여 효율적인 연결을 지원하는 기술",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
컨테이너,,컨테이너화된 애플리케이션들이 단일 운영체제상에서 실행되도록 해주는 기술,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
분산처리기술,,여러 대의 컴퓨터 계산 및 저장능력을 이용하여 커다란 계산문제나 대용량의 데이터를 처리하고 저장하는 기술,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
네트워크 가상화 기술,,"물리적으로 떨어져 있는 다양한 장비들을 연결하기 위한 수단으로 중계장치(라우터, 스위치 등)의 가상화를 통한 가상 네트워크를 지원하는 기술",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
사설 클라우드(Private Cloud),,"기업 또는 조직 내부에서 보유하고 있는 컴퓨팅 자원(IDC, 서버 등)을 사용하여 내부에 구축되어 운영되는 클라우드
자체 컴퓨팅 자원으로 모든 하드웨어, 소프트웨어, 데이터를 수용
직접적인 통제가 가능하며 보안성을 높일 수 있음",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
공용 클라우드(Public Cloud),,"클라우드 서비스 제공 업체에서 다중 사용자를 위한 컴퓨팅 자원 서비스를 제공하는 클라우드
일정한 비용을 지불하고 하드웨어, 소프트웨어 등을 사용
확장성, 유연성 등이 뛰어남",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
하이브리드 클라우드(Hybrid Cloud),,"기업 또는 조직 내부 자원을 이용한 사설 클라우드와 공용 클라우드를 모두 사용하는 클라우드
사설 클라우드의 약점인 구축 비용 문제와 공용 클라우드의 약점인 보안성 확보 문제를 해결
사용 업무의 중요도, 보안성 확보의 중요도 등에 따라 이용 형태 변경가능",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
IaaS(Infrastructure as a Service),,"서버, 스토리지 같은 시스템 자원(HW)을 클라우드로 제공하는 서비스이다.",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
선점형 스케줄링(Preemptive Scheduling),,"( )은 하나의 프로세스가 CPU를 차지하고 있을 때, 우선순위가 높은 다른 프로세스가 현재 프로세스를 중단시키고 CPU를 점유하는 스케줄링이다.",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
라운드 로빈(Round Robbin),,"프로세스는 같은 크기의 CPU 시간을 할당(시간 할당량), 프로세스가 할당된 시간 내에 처리 완료를 못 하면 준비 큐 리스트의 가장 뒤로 보내지고, CPU는 대기 중인 다음 프로세스로 넘어가는 알고리즘",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
SRT(Shortest Remaining Time First),,"가장 짧은 시간이 소요되는 프로세스를 먼저 수행하고, 남은 처리 시간이 더 짧다고 판단되는 프로세스가 준비 큐에 생기면 언제라도 프로세스가 선점되는 알고리즘",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
다단계 큐(Multi Level Queue),,"작업들을 여러 종류 그룹으로 분할, 여러 개의 큐를 이용하여 상위단계 작업에 의한 하위단계 작업이 선점 당하는 알고리즘
각 큐는 자신만의 독자적인 스케줄링을 가짐",기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
SJF(Shortest Job First),,( )는 프로세스가 도착하는 시점에 따라 그 당시 가장 적은 서비스 시간을 갖는 프로세스가 종료 시까지 자원을 점유하는 알고리즘이다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
에이징(Aging),,기아 현상을 해결하기 위한 기법으로는 오랫동안 기다린 프로세스의 우선순위를 높여주는 기법인 ( )를 활용한다.,기출 예상 문제,운영체제의 특징,응용 SW 기초 기술 활용,,시작 전,,
경험 기반 테스트,,( )는 유사 소프트웨어나 유사 기술 평가에서 테스터의 경험을 토대로 한 직관과 기술 능력을 기반으로 수행하는 테스트 기법이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
리뷰(Review),,( )는 소프트웨어의 다양한 산출물에 존재하는 결함을 검출하거나 프로젝트의 진행 상황을 점검하기 위한 활동이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
순환복잡도,,맥케이브(McCabe)의 ( )는 제어 흐름의 복잡한 정보를 정량적으로 표시하는 기법으로 해당 제어 흐름 그래프에서 선형적으로 독립적인 경로의 수를 나타낸다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
회선 제어,,두 개의 스테이션이 동시에 신호를 전송하는 경우 신호 간 충돌이 발생하지 않도록 제어하는 기술로 ENQ/ACK 기법과 풀링 기법이 있다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
흐름 제어,,전송 스테이션으로 하여금 전송 데이터의 양을 제한하기 위해서 사용되는 기술로 정지-대기 기법과 슬라이딩 윈도우 기법이 있다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
오류 제어,,"OSI 7 Layer의 하위의 두 계층 사이에서 데이터의 전송 오류를 검출하여 복구하는 기술로 해밍 코드와 같은 전진 오류 수정(FEC)기법과 체크썸, CRC, ARQ과 같은 후진 오류 수정(BEC) 기법이 있다.",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
참(True) 오라클,,테스트 오라클 기법 중 ( )은 모든 입력값에 대하여 기대하는 결과를 생성함으로써 발생된 오류를 모두 검출할 수 있는 오라클이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
휴리스틱(Heuristic) 오라클,,"테스트 오라클 기법 중 ( )은 샘플링 오라클을 개선한 오라클로, 특정 입력값에 대해 올바른 결과를 제공하고, 나머지 값들에 대해서는 휴리스틱(추정)으로 처리하는 오라클이다.",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
일관성 검사(Consistent) 오라클,,"테스트 오라클 기법 중 ( )은 애플리케이션 변경이 있을 때, 수행 전과 후의 결괏값이 동일한지 확인하는 오라클이다.",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
하향식 통합(Top Down),,"( )은 메인 제어 모듈(프로그램)로부터 아래 방향으로 제어의 경로를 따라 이동하면서 테스트를 진행하며, 메인 제어 모듈에 통합되는 하위 모듈과 최하위 모듈은 ‘깊이-우선’ 또는 ‘너비-우선’ 방식으로 통합되는 방식이다.",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
깊이-우선 방법,,( )은 루트 노드(혹은 다른 임의의 노드)에서 시작해서 다음 분기(Branch)로 넘어가기 전에 해당 분기를 완벽하게 탐색하는 방법이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
너비-우선 방법,,( )은 루트 노드(혹은 다른 임의의 노드)에서 시작해서 인접한 노드를 먼저 탐색하는 방법이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
상향식 통합(Bottom Up),,( )은 애플리케이션 구조에서 최하위 레벨의 모듈 또는 컴포넌트로부터 위쪽 방향으로 제어의 경로를 따라 이동하면서 구축과 테스트를 수행하는 방식이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
샌드위치 통합,,( )은 상향식 통합 테스트와 하향식 통합 테스트 방식을 결합한 테스트 방식으로 하위 프로젝트가 있는 큰 규모의 통합 테스트에서 사용하는 방식이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
테스트 결함 관리,,( )는 단계별 테스트 수행 후 발생한 결함의 재발 방지와 유사 결함 발견 시 처리 시간 단축을 위해 결함을 추적하고 관리하는 활동이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
결함 할당(Assigned),,결함 생명주기별 결함 상태 중 ( )은 결함을 수정할 개발자가 결정되고 그 개발자에게 결함 해결이 요구된 상태이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
결함 추이 분석,,"( )은 테스트 완료 후 발견된 결함의 결함 관리 측정 지표의 속성값들을 분석하고, 향후 애플리케이션의 어떤 모듈 또는 컴포넌트에서 결함이 발생할지를 추정하는 작업이다.",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
메트릭(Metric),,라우팅 프로토콜들이 최적 경로(Best Route)를 선택하는 기준으로 최적 경로 선택 기준값이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
홉(Hop),,데이터가 목적지까지 전달되는 과정에서 거치는 네트워크의 수를 의미한다. (예를 들어 어떤 목적지까지 ( )이 3이라면 그 목적지까지 가기 위해서는 세 개의 네트워크를 경유),기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
자치 시스템,,하나의 도메인에 속하는 라우터들의 집합을 말한다. 그러므로 하나의 자치 시스템에 속한다는 것은 하나의 도메인에 속한다는 것과 같은 의미이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
하이퍼텍스트(Hyper Text),,컴퓨터 화면이나 전자 기기에서 볼 수 있는 텍스트(데이터)이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
네트워크,,원하는 정보를 원하는 수신자 또는 기기에 정확하게 전송하기 위한 기반 인프라이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
X.25,,"통신을 원하는 두 단말장치가 패킷 교환망을 통해 패킷을 원할히 전달하기 위한 통신 프로토콜
고정된 대역폭을 갖고 신뢰성 있는 통신을 하지만 복잡한 기능으로 인해 ISDN 등의 고속망으로 대체되는 통신 기술",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
ATM,,비동기 전송모드라고 하는 광대역 전송에 쓰이는 스위칭 기법,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
TCP,,"( )는 인터넷 프로토콜 스위트의 핵심 프로토콜 중 하나로, IP와 함께 ( )/IP라는 명칭으로 사용된다.
( )는 전송 계층에 위치하면서 근거리 통신망이나 인트라넷, 인터넷에 연결된 컴퓨터에서 실행되는 프로그램 간에 일련의 옥텟을 안정적으로, 순서대로, 에러 없이 교환할 수 있게 해주는 프로토콜이다.",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
거리 벡터 알고리즘(Distance Vector Algorithm),,"인접 라우터와 정보 공유하여 목적지까지의 거리와 방향을 결정하는 라우팅 프로토콜 알고리즘
벨만-포드(Bellman-Ford) 알고리즘 사용",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
링크 상태 알고리즘(Link State Algorithm),,"링크 상태 정보를 모든 라우터에 전달하여 최단 경로 트리를 구성하는 라우팅 프로토콜 알고리즘
다익스트라(Dijkstra) 알고리즘 사용",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
프로토콜,,( )은 서로 다른 시스템에 있는 두 개체 간의 데이터 교환을 원할히 하기 위한 일련의 통신규약이다.,기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
응용 계층(Application Layer),,"사용자와 네트워크 간 응용 서비스 연결, 데이터 생성
프로토콜(FTP, HTTP), 전송단위(데이터(Data)), 장비(호스트(PC 등))",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
표현 계층(Presentation Layer),,"데이터 형식 설정, 부호교환, 암/복호화
프로토콜(JPEG, MPEG), 전송단위(데이터(Data)), 장비(호스트(PC 등))",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
세션 계층(Session Layer),,"송수신 간의 논리적인 연결, 연결 접속, 동기 제어
프로토콜(RPC, NetBIOS), 전송단위(데이터(Data)), 장비(호스트(PC 등))",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
전송 계층(Transport Layer),,"송수신 프로세스 간의 연결, 신뢰성 있는 통신 보장, 데이터 분할, 재조립, 흐름제어, 오류 제어, 혼잡 제어
프로토콜(TCP, UDP), 전송단위(세그먼트(Segment)), 장비(L4 스위치)",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
네트워크 계층(Network Layer),,"단말기 간 데이터 전송을 위한 최적화된 경로 제공
프로토콜(IP, ICMP), 전송단위(패킷(Packet)), 장비(라우터)",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
데이터링크 계층(Data Link Layer),,"인접 시스템간 데이터 전송, 전송 오류 제어, 동기화, 오류제어, 흐름제어, 회선제어
프로토콜(HDLC, PPP), 전송단위(프레임(Frame)), 장비(브리지, 스위치)",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
물리 계층(Physical Layer),,"0과 1의 비트 정보를 회선에 보내기 위한 전기적 신호 변환
프로토콜(RS-232C), 전송단위(비트(Bit)), 장비(허브, 리피터)",기출 예상 문제,네트워크 기초 활용하기,응용 SW 기초 기술 활용,,시작 전,,
CDN(Contents Delivery Network),,콘텐츠를 효율적으로 전달하기 위해 여러 노드를 가진 네트워크에 데이터를 저장하여 제공하는 시스템이다.,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
온프레미스(On-Premise) 방식,,"외부 인터넷망이 차단된 상태에서 인트라넷망만을 활용하여 개발환경을 구축하는 방식
데이터와 정보의 외부 유출이 민감할 경우 해당 장비를 자체 구매하고 특정 공간에 개발환경을 구축",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
클라우드(Cloud) 방식,,"아마존, 구글, 마이크로소프트 등 ( ) 공급 서비스를 하는 회사들의 서비스를 임대하여 개발환경을 구축하는 방식
해당 장비를 초기에 구매하지 않기 때문에 개발환경 투자비용이 적고 구축 시간이 빠름",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
유닉스,,"( )는 데니스 리치와 켄 톰슨(Ken Thompson) 등이 함께 벨 연구소를 통해 만든 운영체제이며, 90% 이상 C 언어로 구현되어 있는 운영체제로 범용 다중 사용자 방식의 시분할 운영체제이다.",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
chown,,"파일이나 디렉토리의 소유자, 소유 그룹 수정 명령어",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
chmod,,특정 파일 또는 디렉토리의 퍼미션 수정 명령어,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
클라우드 컴퓨팅,,"인터넷을 통해 가상화된 컴퓨터 시스템 리소스(IT 리소스)를 제공하고, 정보를 자신의 컴퓨터가 아닌 인터넷에 연결된 다른 컴퓨터로 처리하는 기술이다.",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
프로세스 관리,,"( )는 CPU와 데이터를 송수신하는 상황에서 현재 메모리 사용 부분, 메모리 입출력 순서, 메모리 공간 확보 등 프로세스에 대한 종합적인 관리 기법이다.",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
인프라형 서비스(IaaS),,"서버, 스토리지 같은 시스템 자원(HW)을 클라우드로 제공하는 서비스
컴퓨팅 자원에 운영체제나 애플리케이션 등의 소프트웨어 탑재 및 실행
하위의 클라우드 인프라를 제어하거나 관리하지 않지만 스토리지, 애프리케이션에 대해서는 제어권을 가짐",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
플랫폼형 서비스(PaaS),,"인프라를 생성, 관리 하는 복잡함 없이 애플리케이션을 개발, 실행, 관리할 수 있게 하는 플랫폼을 제공하는 서비스
소프트웨어형 서비스의 개념을 개발 플랫폼에도 확장한 방식으로 개발을 위한 플랫폼을 구축할 필요 없이, 필요한 개발 요소를 웹에서 빌려 쓸 수 있게 하는 모델
OS, 애플리케이션과 애플리케이션 호스팅 환경구성의 제어권을 가짐",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
소프트웨어형 서비스(SaaS),,"소프트웨어 및 관련 데이터는 중앙에 호스팅되고 사용자는 웹 브라우저 등의 클라이언트를 통해 접속하여 소프트웨어를 서비스 형태로 이용하는 서비스
주문형 소프트웨어라고도 함",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
허브,,"여러 대의 컴퓨터를 연결하여 네트워크로 보내거나 하나의 네트워크로 수신된 정보를 여러 대의 컴퓨터로 송신하기 위한 장비
1계층 장비로 사용",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
브리지,,"두 개의 근거리통신망(LAN)을 서로 연결해 주는 통신망 연결 장치
2계층 장비로 사용",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
라우터,,"LAN과 LAN을 연결하거나 LAN과 WAN을 연결하기 위한 인터넷 네트워킹 장비
PC 등의 로컬 호스트가 LAN에 접근할 수 있도록 하며, WAN 인터페이스를 사용하여 WAN에 접근하도록 함
라우팅 프로토콜은 경로 설정을 하여 원하는 목적지까지 지정된 데이터가 안전하게 전달되도록 함
3계층 장비로 사용",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
네트워크 프로토콜,,컴퓨터나 원거리 통신 장비 사이에서 메시지를 주고받는 양식과 규칙의 체계이다.,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
연결 제어,,데이터의 전송량이나 속도를 제어하는 기법,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
오류 제어,,전송 중 잃어버리는 데이터나 오류가 발생한 데이터를 검증하는 제어 기법,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
동기화,,송신과 수신 측의 시점을 맞추는 기법,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
IPv4,,( )는 인터넷에서 사용되는 패킷 교환 네트워크상에서 데이터를 교환하기 위한 32비트 주소체계를 갖는 네트워크 계층의 프로토콜이다.,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
UDP,,"비연결성이고, 신뢰성이 없으며, 순서화되지 않은 데이터그램 서비스를 제공하는 전송(Transport, 4계층) 계층의 통신 프로토콜이다.",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
패킷 교환 방식,,( )은 컴퓨터 네트워크와 통신의 방식 중 하나로 작은 블록 단위로 데이터를 전송하며 데이터를 전송하는 동안만 네트워크 자원을 사용하도록 하는 통신 방식이다.,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
AAL(ATM Adaptation Layer),,패킷을 작은 조각인 셀로 전송한 후 다시 조립하여 원래의 데이터롤 복원하는 역할을 담당,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
ATM 계층,,"셀과 셀 전송 역할을 담당
셀의 레이아웃을 정의하고 헤더 필드가 의미하는 것을 알려줌
가상 회선의 연결 및 해제, 혼잡 제어 처리",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
물리 계층(Physical Layer),,물리적 전송 매체를 처리하는 역할을 담당,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
서킷 교환 방식,,( )은 네트워크 리소스를 특정 사용층이 독점하도록 하는 통신 방식이다.,기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
IGRP,,"RIP의 문제점 개선을 위해 시스코에서 개발
네트워크 상태를 고려하여 라우팅(대역폭, 속도 등)",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
BGP,,"규모가 큰 네트워크의 상호 연결
대형 사업자(ISP) 간의 상호 라우팅",기출 예상 문제,기본 개발환경 구축하기,응용 SW 기초 기술 활용,,시작 전,,
모듈(Module),,소프트웨어 설계에서 기능 단위로 분해하고 추상화되어 재사용 및 공유 가능한 수준으로 만들어진 단위이다.,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
ls,,리눅스/유닉스 운영체제의 기본 명령어 중 ( )는 자신이 속해있는 폴더 내에서의 파일 및 폴더들을 표시하는 명령어이다.,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
배치 기법,,"( )은 메모리 관리 기법 중 디스크에 있는 프로세스를 주기억장치의 어느 위치에 저장할 것인지 결정하는 기법으로 세부 기법에는 최초 적합, 최적 적합, 최악 적합이 있다.",기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
IGMP,,"( )은 호스트 컴퓨터와 인접 라우터가 멀티캐스트 그룹 멤버십을 구성하는 데 사용하는 통신 프로토콜로서 기능에는 그룹 가입, 멤버십 감시, 멤버십 응답, 멤버쉽 탈퇴가 있다.",기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
QoS,,"( )은 네트워크상의 데이터에 중요도를 분류하고, 이를 기반으로 우선 순위를 정하여 데이터 전송 시 특정 수준의 성능을 보장하기 위한 능력이다.",기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
제품 소프트웨어 패키징,,개발이 완료된 제품 소프트웨어를 고객에게 전달하기 위한 형태로 포장하는 과정을 지칭하는 용어는 무엇인가?,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
릴리즈 노트,,( )는 최종 사용자인 고객에게 개발 과정에서 정리된 제품의 릴리즈 정보를 제공하는 문서이다.,기출 예상 문제,제품 소프트웨어 패키징하기,제품 소프트웨어 패키징,,시작 전,,
